Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.SBT_3282, 0.05149125, 0.001651895, 0.05149125, 0.001651895, 0, 0
Line.SBT_3283, 0.02406432, 0.0005177223, 0.02406432, 0.0005177223, 0, 0
Line.SBT_3240, 5.953315E-006, -0.00616172, 5.953315E-006, -0.00616172, 0, 0
Line.SBT_3241, -4.611736E-010, -0.003305121, -4.611736E-010, -0.003305121, 0, 0
Line.SBT_25883, 1.443493E-010, -0.001770424, 1.443493E-010, -0.001770424, 0, 0
Line.SBT_20517, 0.03889429, 0.001243487, 0.03889429, 0.001243487, 0, 0
Line.SBT_20360, 1.121313E-010, -0.009569404, 1.121313E-010, -0.009569404, 0, 0
Line.SBT_20361, 6.137486E-006, -0.006344409, 6.137486E-006, -0.006344409, 0, 0
Line.SBT_20385, 3.019714E-010, -0.01333876, 3.019714E-010, -0.01333876, 0, 0
Line.SBT_20386, 2.375643E-010, -0.01631941, 2.375643E-010, -0.01631941, 0, 0
Line.SBT_16596, 1.049074E-010, -0.006436031, 1.049074E-010, -0.006436031, 0, 0
Line.SBT_23859, 0.02350363, 0.01081644, 0.02350363, 0.01081644, 0, 0
Line.SBT_28817, 2.196522E-006, -0.003329114, 2.196522E-006, -0.003329114, 0, 0
Line.SBT_9365, 3.294715E-006, -0.01213079, 3.294715E-006, -0.01213079, 0, 0
Line.SBT_9366, 8.098003E-011, -0.001349962, 8.098003E-011, -0.001349962, 0, 0
Line.SBT_16341, 0.384151, 0.1937012, 0.384151, 0.1937012, 0, 0
Line.SBT_23838, 0.6244983, 0.3084357, 0.6244983, 0.3084357, 0, 0
Line.SBT_30613, 0.05099916, 0.02073697, 0.05099916, 0.02073697, 0, 0
Line.SBT_30614, 0.1649441, 0.067077, 0.1649441, 0.067077, 0, 0
Line.SBT_30615, 2.175323, 1.102628, 2.175323, 1.102628, 0, 0
Line.SBT_30616, 0.7956589, 0.392984, 0.7956589, 0.392984, 0, 0
Line.SBT_30617, 0.6412787, 0.3167139, 0.6412787, 0.3167139, 0, 0
Line.SBT_8353, 8.759345E-011, -0.005128533, 8.759345E-011, -0.005128533, 0, 0
Line.SBT_9890, 0.2523907, 0.1196007, 0.2523907, 0.1196007, 0, 0
Line.SBT_9891, -9.472604E-011, -0.007777662, -9.472604E-011, -0.007777662, 0, 0
Line.SBT_9101, 0.2445369, 0.1142193, 0.2445369, 0.1142193, 0, 0
Line.SBT_16952, 0.0008703507, -0.002976357, 0.0008703507, -0.002976357, 0, 0
Line.SBT_16953, 0.0007671081, -0.002622863, 0.0007671081, -0.002622863, 0, 0
Line.SBT_24050, 1.620988, 0.5375096, 1.620988, 0.5375096, 0, 0
Line.SBT_24051, 0.3430174, 0.102482, 0.3430174, 0.102482, 0, 0
Line.SBT_23385, 0.1564757, 0.04673741, 0.1564757, 0.04673741, 0, 0
Line.SBT_9700, 2.392746, 0.7934691, 2.392746, 0.7934691, 0, 0
Line.SBT_22810, 3.326823E-012, -0.004742327, 3.326823E-012, -0.004742327, 0, 0
Line.SBT_13565, 0.0830031, 0.03517413, 0.0830031, 0.03517413, 0, 0
Line.SBT_13566, 0.09631533, 0.0408178, 0.09631533, 0.0408178, 0, 0
Line.SBT_26208, 0.09240563, 0.03915641, 0.09240563, 0.03915641, 0, 0
Line.SBT_26209, 0.08588974, 0.03640165, 0.08588974, 0.03640165, 0, 0
Line.SBT_7310, 1.622494E-010, -0.002992061, 1.622494E-010, -0.002992061, 0, 0
Line.SBT_35178, 0.02270893, 0.009890103, 0.02270893, 0.009890103, 0, 0
Line.SBT_28082, 0.09923612, 0.006863426, 0.09923612, 0.006863426, 0, 0
Line.SBT_14444, 2.615315, 2.047053, 2.615315, 2.047053, 0, 0
Line.SBT_15295, 3.673598, 1.875956, 3.673598, 1.875956, 0, 0
Line.SBT_15296, 0.3372762, 0.1648334, 0.3372762, 0.1648334, 0, 0
Line.SBT_15297, 0.02044899, 0.008417865, 0.02044899, 0.008417865, 0, 0
Line.SBT_23985, 11.31998, 8.867544, 11.31998, 8.867544, 0, 0
Line.SBT_23986, 0.4882814, 0.3798683, 0.4882814, 0.3798683, 0, 0
Line.SBT_23987, 5.322459, 2.728011, 5.322459, 2.728011, 0, 0
Line.SBT_9702, 29.99327, 23.50358, 29.99327, 23.50358, 0, 0
Line.SBT_9585, 0.1964924, 0.09952579, 0.1964924, 0.09952579, 0, 0
Line.SBT_9586, 12.64539, 9.906683, 12.64539, 9.906683, 0, 0
Line.SBT_9587, 23.35757, 18.30262, 23.35757, 18.30262, 0, 0
Line.SBT_9588, 5.689894, 4.453273, 5.689894, 4.453273, 0, 0
Line.SBT_9589, 11.5293, 5.908275, 11.5293, 5.908275, 0, 0
Line.SBT_9599, 5.635243, 4.408839, 5.635243, 4.408839, 0, 0
Line.SBT_9788, 4.274416, 2.188989, 4.274416, 2.188989, 0, 0
Line.SBT_9789, 4.988138, 2.551752, 4.988138, 2.551752, 0, 0
Line.SBT_8830, 4.416748, 3.461551, 4.416748, 3.461551, 0, 0
Line.SBT_8831, 0.5177739, 0.07128673, 0.5177739, 0.07128673, 0, 0
Line.SBT_9803, 11.43642, 5.862244, 11.43642, 5.862244, 0, 0
Line.SBT_9804, 1.787662, 0.910204, 1.787662, 0.910204, 0, 0
Line.SBT_9805, 0.06416374, 0.02899225, 0.06416374, 0.02899225, 0, 0
Line.SBT_9806, 4.978036, 2.540218, 4.978036, 2.540218, 0, 0
Line.SBT_9807, 0.3159807, 0.155496, 0.3159807, 0.155496, 0, 0
Line.SBT_9612, 0.1492792, 0.07291462, 0.1492792, 0.07291462, 0, 0
Line.SBT_9613, 2.045955, 1.044033, 2.045955, 1.044033, 0, 0
Line.SBT_9614, 3.343524, 1.710208, 3.343524, 1.710208, 0, 0
Line.SBT_9615, -1.03751E-010, -0.001181044, -1.03751E-010, -0.001181044, 0, 0
Line.SBT_9596, 7.619936, 3.903058, 7.619936, 3.903058, 0, 0
Line.SBT_9597, 5.023993, 2.569797, 5.023993, 2.569797, 0, 0
Line.SBT_9598, 3.752133, 1.916923, 3.752133, 1.916923, 0, 0
Line.SBT_9576, -2.75892E-011, -0.002656783, -2.75892E-011, -0.002656783, 0, 0
